inception_date,currency,risk_classification,min_initial_participation,remarks,min_additional_participation,min_maintaining_balance,min_holding_period,cutoff_time_for_participationredemption,settlement_date,trust_fee_structure,early_redemption_fee,benchmark,fund_name,classification,navpu,bank,url
"Feb 17, 2023",PHP,Aggressive,"PHP 1,000.00",,PHP 100.00,"PHP 1,000.00",0 calendar days,12:00 PM,T+3,0.3368%,0,100% Philippines Stock Exchange Index		,AIA Peso Equity Fund,Equity Fund,0.9733,AIA INVESTMENT MANAGEMENT AND TRUST CORPORATION PHILIPPINES,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=481&bank_id=42
"May 4, 2006",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,12:00 PM,T + 3 days,1.25% per annum based on the Net Asset Value (NAV),0.50% of amount redeemed,90-day yield of the Philippine Stock Exchange Index (PSEi) ,Equity Investment Trust Fund,Equity Fund,256.86,Asia United Bank,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=159&bank_id=4
"Dec 4, 2006",PHP,Aggressive,"PHP 25,000.00",,"PHP 10,000.00","PHP 25,000.00",30 calendar days,12:00 PM,T + 3,1.25% PA,1.00% of the Principal,		,AB CAPITAL EQUITY FUND,Equity Fund,2.81126,AB Capital Asset Management,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=185&bank_id=29
"Feb 17, 2021",PHP,Aggressive,PHP 50.00,,PHP 50.00,PHP 50.00,0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 3 business days",1.75% p.a.,none,Philippine Stock Exchange Index						,ATRAM Philippine Sustainable Development and Growth Fund (A Unit Class),Equity Fund,95.806621,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=404&bank_id=31
"Feb 17, 2021",PHP,Aggressive,"PHP 200,000,000.00",,PHP 50.00,"PHP 200,000,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 3 business days",0.60% p.a.,none,Philippine Stock Exchange Index						,ATRAM Philippine Sustainable Development and Growth Fund (Y Unit Class),Equity Fund,99.982665,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=405&bank_id=31
"Jun 15, 2005",PHP,Balanced,"PHP 1,000.00",,"PHP 1,000.00",PHP 0.00,30 calendar days,02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a.,0.50% of the Original Participation Amount,PSEi										,BDO INSTITUTIONAL EQUITY FUND,Equity Fund,4345.6579,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=127&bank_id=6
"Apr 8, 2015",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,11:30 AM,4,1.50% p.a. based on the Net Asset Value (NAV) accrued daily,5% of the redeemed amount,90% of the Philippine Stock Exchange Index (PSEi) and 10% of the one month yield based on the PHP BVAL														,DIVERSITY DIVIDEND FOCUSED FUND,Equity Fund,0.654755,Bank of Commerce,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=252&bank_id=5
"May 3, 2005",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a.,1.00% of the Original Participation Amount,PSEi																,BDO EQUITY FUND,Equity Fund,372.1367,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=126&bank_id=6
"May 5, 2003",PHP,Aggressive,"PHP 10,000.00",,"PHP 5,000.00","PHP 10,000.00",0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+2 (end of day),2.00% p.a.,None,Philippine Stock Exchange Index (PSEi)								,ODYSSEY PHILIPPINE EQUITY FUND,Equity Fund,383.8,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=63&bank_id=3
"Oct 18, 2013",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after the notice of redemption is received (T + 3),1.50% p.a.,1.00% of the Original Participation Amount,PSEi												,BDO FOCUSED EQUITY FUND,Equity Fund,78.4079,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=198&bank_id=6
